keyword,synonyms,video_path
agriculture,cultivating|farming|cultivation|cropping,sign_videos/agriculture.mp4
buffalo,buffaloes|cattle|animal|livestock,sign_videos/buffalo.mp4
chicken,hen|bird|poultry,sign_videos/chicken.mp4
cow,cows|cattle|animal|livestock,sign_videos/cow.mp4
crops,crop|plant|plants,sign_videos/crops.mp4
farm,farms|field|land|cultivation,sign_videos/farm.mp4
farmer,farmers|agriculturist|grower,sign_videos/farmer.mp4
farming,agriculture|cultivation|cropping,sign_videos/farming.mp4
fertilizer,fertilizers|manure|compost,sign_videos/fertilizer.mp4
goat,goats|animal|livestock,sign_videos/goat.mp4
handpump,waterpump|manualpump|hand_pump,sign_videos/handpump_water.mp4
harvesting,harvest|reaping|collecting,sign_videos/harvesting.mp4
harvester,harvesting|cuttingmachine|combine|harvestingmachine,sign_videos/harvester.mp4
irrigation,irrigating|watering|sprinkling|watersupply,sign_videos/irrigation.mp4
machine,machines|pump|equipment|device,sign_videos/machine_water_pump.mp4
organic,organicfood|natural|chemicalfree,sign_videos/organic_food.mp4
pesticide,pesticides|chemical|spray|insecticide,sign_videos/pesticide.mp4
planting,sowing|growing|seeding,sign_videos/planting.mp4
plough,plowing|ploughing|tilling|digging,sign_videos/plough.mp4
seed,seeds|grain|kernel|seedling,sign_videos/seed.mp4
soil,earth|mud|ground|land,sign_videos/soil.mp4
tractor,tractors|vehicle|machine,sign_videos/tractor.mp4
water,watering|irrigation|drinkwater,sign_videos/water.mp4
weather,climate|rain|sunny|cloudy,sign_videos/weather.mp4
